"candidate_id","source","stride","flow_stage","candidate_scenario","artifact_grounded","boundary_grounded","evidence_mappable","fpga_specific","disposition","mapped_threat_id","rationale"
"SIP-1","Artifact-provenance derivation","Spoofing","HDL/IP Input","Unverified third-party IP is accepted as trusted hardware logic.","yes","yes","yes","yes","retained_distinct","SIP-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"SIP-2","Artifact-provenance derivation","Tampering","HDL/IP Input","HDL or IP source is changed before synthesis while preserving expected project structure.","yes","yes","yes","yes","retained_distinct","SIP-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"SIP-3","Artifact-provenance derivation","Information Disclosure","HDL/IP Input; CI/CD","Proprietary HDL or IP leaks through repository, artifact storage, or build infrastructure.","yes","yes","yes","yes","retained_distinct","SIP-3","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"SIM-1","Artifact-provenance derivation","Tampering; Repudiation","Simulation","Verification collateral, golden vectors, simulation models, or simulation reports are changed or cannot be tied to reviewed design evidence.","yes","yes","yes","yes","retained_distinct","SIM-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"CFG-1","Artifact-provenance derivation","Tampering","Constraint and Configuration","Timing, pin, or placement constraints are altered without HDL changes.","yes","yes","yes","yes","retained_distinct","CFG-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"CFG-2","Artifact-provenance derivation","Tampering","Constraint and Configuration; Synthesis","Tool options or scripts alter optimization, hierarchy, seed, or generated artifacts.","yes","yes","yes","yes","retained_distinct","CFG-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"CFG-3","Artifact-provenance derivation","Denial of Service","Constraint and Configuration","Constraint or configuration changes cause repeated timing-closure or resource failures.","yes","yes","yes","yes","retained_distinct","CFG-3","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"TRN-1","Artifact-provenance derivation","Tampering","Synthesis","Generated netlist or synthesis checkpoint is modified or substituted.","yes","yes","yes","yes","retained_distinct","TRN-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"TRN-2","Artifact-provenance derivation","Tampering","Placement and Routing","Implementation checkpoints, seeds, or route databases are manipulated or stale state is reused.","yes","yes","yes","yes","retained_distinct","TRN-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"TRN-3","Artifact-provenance derivation","Denial of Service","Placement and Routing","Implementation is delayed or blocked through resource exhaustion or pathological constraints.","yes","yes","yes","yes","retained_distinct","TRN-3","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"RPT-1","Artifact-provenance derivation","Tampering","Report Generation","Timing, utilization, or DRC reports are modified, suppressed, or replaced.","yes","yes","yes","yes","retained_distinct","RPT-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"RPT-2","Artifact-provenance derivation","Repudiation","Multiple stages","A bitstream or report cannot be traced to source, constraints, options, tool version, and approval.","yes","yes","yes","yes","retained_distinct","RPT-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"RPT-3","Artifact-provenance derivation","Information Disclosure","Report Generation","Reports expose design structure, timing paths, resource use, IP composition, or constraints.","yes","yes","yes","yes","retained_distinct","RPT-3","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"BSD-1","Artifact-provenance derivation","Spoofing; Tampering","Bitstream Generation; Deployment","A bitstream is substituted or mislabeled before release or programming.","yes","yes","yes","yes","retained_distinct","BSD-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"BSD-2","Artifact-provenance derivation","Information Disclosure","Bitstream Generation","Bitstreams, signing material, or encryption material leak through storage or release bundles.","yes","yes","yes","yes","retained_distinct","BSD-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"BSD-3","Artifact-provenance derivation","Elevation of Privilege; Spoofing","Bitstream Generation; Programming","An actor builds, signs, releases, programs, or targets a bitstream programming action without authority or with a spoofed target identity.","yes","yes","yes","yes","retained_distinct","BSD-3;BSD-4","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"REL-1","Artifact-provenance derivation","Repudiation","Release Automation","Released artifacts lack durable provenance linking source, configuration, reports, bitstream, and approval.","yes","yes","yes","yes","retained_distinct","REL-1","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"REL-2","Artifact-provenance derivation","Elevation of Privilege","Release Automation","CI/CD actor releases or signs FPGA artifacts outside the authorized workflow.","yes","yes","yes","yes","retained_distinct","REL-2","Final taxonomy record satisfies artifact, boundary, consequence, evidence, and mitigation criteria."
"RW-01","Generic STRIDE prompt","Spoofing","HDL/IP Input","An attacker pretends to be a supplier.","partial","partial","partial","partial","rewritten_to_retained","SIP-1","Rewritten around IP package identity and intake evidence."
"RW-02","Generic STRIDE prompt","Tampering","All stages","A file in the project directory is changed.","partial","partial","partial","partial","rewritten_to_retained","SIP-2;CFG-1;RPT-1;BSD-1","Rewritten by artifact family because not every file has the same hardware consequence."
"RW-03","Generic STRIDE prompt","Repudiation","All stages","A user denies running a build.","partial","partial","partial","partial","rewritten_to_retained","RPT-2;REL-1","Rewritten around source-to-bitstream lineage and workflow identity."
"RW-04","Generic STRIDE prompt","Information Disclosure","All stages","A build server exposes files.","partial","partial","partial","partial","rewritten_to_retained","SIP-3;RPT-3;BSD-2","Rewritten around source, report, and bitstream confidentiality."
"RW-05","Generic STRIDE prompt","Denial of Service","Build environment","The build machine becomes unavailable.","partial","partial","partial","partial","rewritten_to_retained","CFG-3;TRN-3;TENV-2","Retained only when artifact manipulation affects timing closure or routing availability."
"RW-06","Generic STRIDE prompt","Elevation of Privilege","CI/CD","A user gains administrator privileges.","partial","partial","partial","partial","rewritten_to_retained","BSD-3;REL-2","Rewritten around signing, release, and programming authority."
"RW-07","FPGA security literature theme","Tampering","Configuration","A configuration file is modified.","partial","partial","partial","partial","rewritten_to_retained","CFG-1;CFG-2","Split into constraints versus tool options because evidence differs."
"RW-08","FPGA security literature theme","Information Disclosure","Report Generation","Reports may leak sensitive data.","partial","partial","partial","partial","rewritten_to_retained","RPT-3","Rewritten around timing paths, resource use, IP composition, and constraints."
"RW-09","FPGA security literature theme","Spoofing","Deployment","A wrong hardware image is deployed.","partial","partial","partial","partial","rewritten_to_retained","BSD-1","Rewritten as bitstream substitution or mislabeling."
"RW-10","Observed artifact family","Tampering","Synthesis","Intermediate output is modified.","partial","partial","partial","partial","rewritten_to_retained","TRN-1","Rewritten around generated netlist/checkpoint lineage."
"RW-11","Observed artifact family","Tampering","Placement and Routing","Implementation state is reused.","partial","partial","partial","partial","rewritten_to_retained","TRN-2","Rewritten around stale checkpoint or route-state reuse."
"RW-12","Observed artifact family","Repudiation","Report Generation","A report cannot be verified.","partial","partial","partial","partial","rewritten_to_retained","RPT-2","Rewritten around report-to-source/configuration/tool linkage."
"RW-13","Supply-chain prompt","Repudiation","Release","A release package is missing metadata.","partial","partial","partial","partial","rewritten_to_retained","REL-1","Rewritten as missing FPGA artifact digest set and attestation."
"RW-14","Supply-chain prompt","Elevation of Privilege","Release","A CI token can publish artifacts.","partial","partial","partial","partial","rewritten_to_retained","REL-2","Rewritten around FPGA release/signing authority."
"RW-15","Supply-chain prompt","Tampering","Bitstream Generation","A binary artifact is replaced.","partial","partial","partial","partial","rewritten_to_retained","BSD-1","Rewritten because a bitstream is a hardware configuration, not an arbitrary binary."
"RW-16","Supply-chain prompt","Information Disclosure","Bitstream Generation","Secret material leaks from a release bundle.","partial","partial","partial","partial","rewritten_to_retained","BSD-2","Rewritten around bitstream signing/encryption material."
"MG-01","FPGA flow prompt","Tampering","Constraint and Configuration","A clock constraint is relaxed.","yes","yes","yes","yes","merged_duplicate","CFG-1","Merged into constraint tampering."
"MG-02","FPGA flow prompt","Tampering","Constraint and Configuration","A false path is inserted.","yes","yes","yes","yes","merged_duplicate","CFG-1","Merged into constraint tampering."
"MG-03","FPGA flow prompt","Tampering","Constraint and Configuration","A pin location is changed.","yes","yes","yes","yes","merged_duplicate","CFG-1","Merged into constraint tampering."
"MG-04","FPGA flow prompt","Tampering","Synthesis","A synthesis seed or option is changed.","yes","yes","yes","yes","merged_duplicate","CFG-2","Merged into tool option/script tampering."
"MG-05","FPGA flow prompt","Tampering","Placement and Routing","A route seed is changed.","yes","yes","yes","yes","merged_duplicate","TRN-2","Merged into implementation-state manipulation."
"MG-06","FPGA flow prompt","Tampering","Report Generation","A timing report is edited.","yes","yes","yes","yes","merged_duplicate","RPT-1","Merged into signoff report tampering."
"MG-07","FPGA flow prompt","Tampering","Report Generation","A DRC report is suppressed.","yes","yes","yes","yes","merged_duplicate","RPT-1","Merged into signoff report tampering."
"MG-08","FPGA flow prompt","Spoofing","Bitstream Generation","A stale bitstream is relabeled.","yes","yes","yes","yes","merged_duplicate","BSD-1","Merged into bitstream substitution or mislabeling."
"MG-09","FPGA flow prompt","Elevation of Privilege; Spoofing","Programming","An operator programs the wrong or spoofed target.","yes","yes","yes","yes","merged_duplicate","BSD-4","Merged into unauthorized signing/programming authority and programming-target spoofing; mapped identifier updated from BSD-3 to BSD-4 when reconciliation split programming-target authority out of BSD-3."
"MG-10","FPGA flow prompt","Repudiation","CI/CD","A release log is deleted.","yes","yes","yes","yes","merged_duplicate","REL-1","Merged into missing durable release provenance."
"MG-11","FPGA flow prompt","Tampering","Simulation","A testbench, golden vector, or simulation model is modified.","yes","yes","yes","yes","merged_duplicate","SIM-1","Merged into verification-collateral tampering."
"EXG-01","Generic STRIDE prompt","Spoofing","Enterprise identity","Weak workstation passwords allow login.","no","no","no","no","excluded_generic_IT","","No FPGA artifact is named."
"EXG-02","Generic STRIDE prompt","Information Disclosure","Network","Traffic between developer machines is sniffed.","no","no","no","no","excluded_generic_IT","","No FPGA artifact or release boundary is specified."
"EXG-03","Generic STRIDE prompt","Denial of Service","Network","Corporate network outage delays engineering work.","no","no","no","no","excluded_generic_IT","","Generic availability risk without artifact-specific consequence."
"EXG-04","Generic STRIDE prompt","Tampering","Endpoint","Malware modifies arbitrary files.","no","no","no","no","excluded_generic_IT","","Too broad until rewritten around source, constraints, reports, or bitstreams."
"EXG-05","Generic STRIDE prompt","Repudiation","Helpdesk","An employee denies changing a ticket.","no","no","no","no","excluded_generic_IT","","No FPGA toolchain artifact or authority boundary."
"EXG-06","Generic STRIDE prompt","Elevation of Privilege","Operating system","A user gains local administrator access.","no","no","no","no","excluded_generic_IT","","Generic unless linked to signing, release, or programming authority."
"EXG-07","Generic STRIDE prompt","Information Disclosure","Cloud storage","A cloud bucket exposes unrelated documents.","no","no","no","no","excluded_generic_IT","","No modeled FPGA artifact."
"EXG-08","Generic STRIDE prompt","Denial of Service","Patch management","A failed OS patch breaks a workstation.","no","no","no","no","excluded_generic_IT","","Generic IT operation risk without FPGA artifact mapping."
"EXP-01","FPGA security literature theme","Information Disclosure","Deployed device","Side-channel measurement extracts a secret from a configured FPGA.","yes","yes","no","outside_scope","excluded_physical_runtime","","Out of development-toolchain scope."
"EXP-02","FPGA security literature theme","Tampering","Chip-level attack","Voltage fault injection changes device behavior.","yes","yes","no","outside_scope","excluded_physical_runtime","","Physical/chip-level attack, not toolchain artifact modeling."
"EXP-03","FPGA security literature theme","Information Disclosure","Board attack","An attacker probes board traces after deployment.","yes","yes","no","outside_scope","excluded_physical_runtime","","Physical probing is outside scope."
"EXP-04","FPGA security literature theme","Tampering","Configuration memory","Laser fault injection flips configuration memory.","yes","yes","no","outside_scope","excluded_physical_runtime","","Chip-level fault model, not development artifact lineage."
"EXP-05","FPGA security literature theme","Information Disclosure","Deployed device","Power analysis recovers a bitstream encryption key.","yes","yes","no","outside_scope","excluded_physical_runtime","","Cryptanalytic/side-channel threat outside the modeled flow."
"EXP-06","FPGA security literature theme","Denial of Service","Deployed device","An attacker overheats a deployed FPGA.","yes","yes","no","outside_scope","excluded_physical_runtime","","Runtime physical availability threat."
"EXP-07","FPGA security literature theme","Spoofing","Field hardware","A counterfeit board is installed in the field.","yes","yes","no","outside_scope","excluded_physical_runtime","","Hardware supply-chain/device identity scope, not development-toolchain artifact scope."
"EXE-01","Speculative prompt","Tampering","Tool internals","A proprietary optimizer silently introduces malicious behavior with no observable artifact change.","no","no","no","no","excluded_no_evidence_requirement","","No evidence requirement under the paper's vendor-neutral artifact model."
"EXE-02","Speculative prompt","Repudiation","Unspecified","A malicious action occurs somewhere in the toolchain but no artifact, actor, or boundary is identified.","no","no","no","no","excluded_no_evidence_requirement","","Underspecified candidate with no reviewable record."
