method,candidate_id,stride,flow_stage,scenario,artifact_present,boundary_present,evidence_mappable,fpga_specific,mitigation_actionable,decision
"Generic STRIDE","G-S-1","Spoofing","All stages","Attacker uses stolen developer credentials","no","partial","partial","no","yes","rewrite"
"Generic STRIDE","G-T-1","Tampering","All stages","Attacker changes a file in the project directory","partial","partial","partial","no","partial","rewrite"
"Generic STRIDE","G-R-1","Repudiation","All stages","User denies running a build","no","partial","partial","no","yes","rewrite"
"Generic STRIDE","G-I-1","Information Disclosure","All stages","Attacker reads files over the network","partial","no","partial","no","yes","rewrite"
"Generic STRIDE","G-D-1","Denial of Service","All stages","Build machine becomes unavailable","no","no","no","no","yes","remove"
"Generic STRIDE","G-E-1","Elevation of Privilege","All stages","User gains administrator privilege","no","partial","partial","no","yes","rewrite"
"Generic STRIDE","G-T-2","Tampering","Constraint and Configuration","Any configuration file is modified","partial","partial","partial","partial","partial","rewrite"
"Generic STRIDE","G-I-2","Information Disclosure","Report Generation","Reports may leak information","yes","partial","partial","partial","yes","rewrite"
"Generic STRIDE","G-D-2","Denial of Service","Placement and Routing","Routing does not finish","yes","yes","partial","yes","yes","retain_if_artifact_bound"
"Artifact-Provenance STRIDE","SIP-1","Spoofing","Source/IP","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","SIP-2","Tampering","Source/IP","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","SIP-3","Information Disclosure","Source/IP","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","SIM-1","Tampering/Repudiation","Simulation","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","SIM-2","Information Disclosure/Tampering","Simulation","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","CFG-1","Tampering","Constraint/Configuration","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","CFG-2","Tampering","Constraint/Configuration","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","CFG-3","Denial of Service","Constraint/Configuration","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","TENV-1","Spoofing/Tampering","Tool Environment","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","TENV-2","Repudiation/Denial of Service","Tool Environment","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","TENV-3","Tampering/Repudiation","Tool Environment","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","TRN-1","Tampering","Transformation","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","TRN-2","Tampering","Transformation","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","TRN-3","Denial of Service","Transformation","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","RPT-1","Tampering","Report","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","RPT-2","Repudiation","Report/Provenance","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","RPT-3","Information Disclosure","Report","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","BSD-1","Spoofing/Tampering","Bitstream","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","BSD-2","Information Disclosure","Bitstream","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","BSD-3","Elevation of Privilege","Bitstream/Release","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","BSD-4","Spoofing/Elevation of Privilege","Programming","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","DEP-1","Tampering/Information Disclosure","Deployment/Debug","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","REL-1","Repudiation","Release automation","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
"Artifact-Provenance STRIDE","REL-2","Elevation of Privilege","Release automation","Record is included only when artifact, DFD element or boundary, attacker capability, consequence, and evidence requirement are all reviewable within the stated scope.","yes","yes","yes","yes","yes","retain"
