threat_id,vendor,required_evidence,native_tool_output,manifest_required,evidence_status,limitation
"SIP-1","AMD Vivado","Provider identity; package digest; signed release; IP intake review","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIP-2","AMD Vivado","Source digest; review record; dependency/IP metadata manifest","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIP-3","AMD Vivado","Access log; repository policy; export record","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIM-1","AMD Vivado","Testbench digest; simulation log; expected-result manifest","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"SIM-2","AMD Vivado","Result manifest; waveform/log digest; simulation command; access log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"CFG-1","AMD Vivado","Constraint digest; change rationale; reviewer approval; exception/waiver record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"CFG-2","AMD Vivado","Command manifest; option snapshot; tool version; security-option record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"CFG-3","AMD Vivado","Constraint history; build-resource log; failure record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"TENV-1","AMD Vivado","Tool/image digest; installation manifest; plugin/package digest; runner provenance; tool-version attestation","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TENV-2","AMD Vivado","License file/server record; license report; feature log; build log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TENV-3","AMD Vivado","Tool version; IP status or upgrade log; installation manifest; database-version record","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TRN-1","AMD Vivado","Input-output digest chain; synthesis log","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"TRN-2","AMD Vivado","Seed/options manifest; checkpoint digest; route lineage","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"TRN-3","AMD Vivado","Build-resource log; options history; route failure record","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"RPT-1","AMD Vivado","Report digest; generator command; timestamp; exception/waiver record","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"RPT-2","AMD Vivado","Source-to-bitstream digest chain; CI identity; tool/image identity; attestation","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"RPT-3","AMD Vivado","Report permissions; access logs; release classification","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"BSD-1","AMD Vivado","Bitstream digest; signature where configured; release manifest; programming log; rollback record","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-2","AMD Vivado","Key-handling record; access log; encryption status; debug metadata classification","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-3","AMD Vivado","Signer identity; approval record; release manifest","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-4","AMD Vivado","Target identity; programmer identity; programming log; rollback record","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"DEP-1","AMD Vivado","Readback/status log; verify command; debug capture digest; access log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"REL-1","AMD Vivado","Workflow identity; artifact digest set; tool identity; attestation","partial","yes","manifest","Scripts and generated CSVs exist; release approval and service-account evidence require CI/CD platform records."
"REL-2","AMD Vivado","Release approval; signing event; service account identity; protected-environment record","partial","yes","manifest","Scripts and generated CSVs exist; release approval and service-account evidence require CI/CD platform records."
"SIP-1","Intel Quartus Prime Pro","Provider identity; package digest; signed release; IP intake review","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIP-2","Intel Quartus Prime Pro","Source digest; review record; dependency/IP metadata manifest","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIP-3","Intel Quartus Prime Pro","Access log; repository policy; export record","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIM-1","Intel Quartus Prime Pro","Testbench digest; simulation log; expected-result manifest","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"SIM-2","Intel Quartus Prime Pro","Result manifest; waveform/log digest; simulation command; access log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"CFG-1","Intel Quartus Prime Pro","Constraint digest; change rationale; reviewer approval; exception/waiver record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"CFG-2","Intel Quartus Prime Pro","Command manifest; option snapshot; tool version; security-option record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"CFG-3","Intel Quartus Prime Pro","Constraint history; build-resource log; failure record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"TENV-1","Intel Quartus Prime Pro","Tool/image digest; installation manifest; plugin/package digest; runner provenance; tool-version attestation","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TENV-2","Intel Quartus Prime Pro","License file/server record; license report; feature log; build log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TENV-3","Intel Quartus Prime Pro","Tool version; IP status or upgrade log; installation manifest; database-version record","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TRN-1","Intel Quartus Prime Pro","Input-output digest chain; synthesis log","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"TRN-2","Intel Quartus Prime Pro","Seed/options manifest; checkpoint digest; route lineage","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"TRN-3","Intel Quartus Prime Pro","Build-resource log; options history; route failure record","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"RPT-1","Intel Quartus Prime Pro","Report digest; generator command; timestamp; exception/waiver record","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"RPT-2","Intel Quartus Prime Pro","Source-to-bitstream digest chain; CI identity; tool/image identity; attestation","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"RPT-3","Intel Quartus Prime Pro","Report permissions; access logs; release classification","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"BSD-1","Intel Quartus Prime Pro","Bitstream digest; signature where configured; release manifest; programming log; rollback record","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-2","Intel Quartus Prime Pro","Key-handling record; access log; encryption status; debug metadata classification","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-3","Intel Quartus Prime Pro","Signer identity; approval record; release manifest","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-4","Intel Quartus Prime Pro","Target identity; programmer identity; programming log; rollback record","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"DEP-1","Intel Quartus Prime Pro","Readback/status log; verify command; debug capture digest; access log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"REL-1","Intel Quartus Prime Pro","Workflow identity; artifact digest set; tool identity; attestation","partial","yes","manifest","Scripts and generated CSVs exist; release approval and service-account evidence require CI/CD platform records."
"REL-2","Intel Quartus Prime Pro","Release approval; signing event; service account identity; protected-environment record","partial","yes","manifest","Scripts and generated CSVs exist; release approval and service-account evidence require CI/CD platform records."
"SIP-1","Microchip Libero SoC","Provider identity; package digest; signed release; IP intake review","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIP-2","Microchip Libero SoC","Source digest; review record; dependency/IP metadata manifest","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIP-3","Microchip Libero SoC","Access log; repository policy; export record","partial","yes","manifest","Source files are present, but provider identity, review approval, and dependency provenance require manifest records."
"SIM-1","Microchip Libero SoC","Testbench digest; simulation log; expected-result manifest","partial","yes","manifest","Verification collateral is present, but reviewed expected results and simulation signoff evidence require project-level records."
"SIM-2","Microchip Libero SoC","Result manifest; waveform/log digest; simulation command; access log","partial","yes","manifest","Verification collateral is present, but reviewed expected results and simulation signoff evidence require project-level records."
"CFG-1","Microchip Libero SoC","Constraint digest; change rationale; reviewer approval; exception/waiver record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"CFG-2","Microchip Libero SoC","Command manifest; option snapshot; tool version; security-option record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"CFG-3","Microchip Libero SoC","Constraint history; build-resource log; failure record","yes","yes","native+manifest","Constraint artifacts are native or linked, but approval rationale remains project-level evidence."
"TENV-1","Microchip Libero SoC","Tool/image digest; installation manifest; plugin/package digest; runner provenance; tool-version attestation","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TENV-2","Microchip Libero SoC","License file/server record; license report; feature log; build log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TENV-3","Microchip Libero SoC","Tool version; IP status or upgrade log; installation manifest; database-version record","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"TRN-1","Microchip Libero SoC","Input-output digest chain; synthesis log","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"TRN-2","Microchip Libero SoC","Seed/options manifest; checkpoint digest; route lineage","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"TRN-3","Microchip Libero SoC","Build-resource log; options history; route failure record","yes","yes","native+manifest","Transformation files are native; source-to-output digest chain is manifest-level evidence."
"RPT-1","Microchip Libero SoC","Report digest; generator command; timestamp; exception/waiver record","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"RPT-2","Microchip Libero SoC","Source-to-bitstream digest chain; CI identity; tool/image identity; attestation","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"RPT-3","Microchip Libero SoC","Report permissions; access logs; release classification","yes","yes","native+manifest","Reports/logs are native; signoff attribution requires release process evidence."
"BSD-1","Microchip Libero SoC","Bitstream digest; signature where configured; release manifest; programming log; rollback record","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-2","Microchip Libero SoC","Key-handling record; access log; encryption status; debug metadata classification","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-3","Microchip Libero SoC","Signer identity; approval record; release manifest","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"BSD-4","Microchip Libero SoC","Target identity; programmer identity; programming log; rollback record","yes","yes","native+manifest","Bitstream/programming files are native when generated; signing and authorization evidence is project-level."
"DEP-1","Microchip Libero SoC","Readback/status log; verify command; debug capture digest; access log","no","yes","absent","No corresponding artifact was observed in the evaluated Block-2 run."
"REL-1","Microchip Libero SoC","Workflow identity; artifact digest set; tool identity; attestation","partial","yes","manifest","Scripts and generated CSVs exist; release approval and service-account evidence require CI/CD platform records."
"REL-2","Microchip Libero SoC","Release approval; signing event; service account identity; protected-environment record","partial","yes","manifest","Scripts and generated CSVs exist; release approval and service-account evidence require CI/CD platform records."
